Paraburkholderia xenovorans	genome01	"""https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log\$=seqview&db=nuccore&report=fasta&id=91685338&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8AA5866FFCD51100000000089B074C"
Rhodopirellula baltica	genome02	"""https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log\$=seqview&db=nuccore&report=fasta&id=32456059&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE88EFE670820A810000000006C00557"
Shewanella baltica	genome03	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log\$=seqview&db=nuccore&report=fasta&id=315265351&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE88B2177081D21100000000081D0690
Acidobacterium capsulatum	genom04	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log\$=seqview&db=nuccore&report=fasta&id=225791207&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8CEFD57081519100000000094B076F
Chlorobium limicola	genome05	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=189339705&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE89A41C7081BFD10000000008A706FF
Chlorobium phaeoclathratiforme	genome06	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=194307659&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8894D37091A55100000000049803C9
Nitrosomonas europaea	genome07	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=30407130&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8B242F7091EED10000000004690393
Caldanaerobacter subterraneus	genome08	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=20671658&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE893FF670927E1100000000039F0303
Enterococcus faecalis	genome09	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=499106491&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8A29527092881100000000037702C9
Archaeoglobus fulgidus	genome10	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=6626247&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE89A5EE709240010000000004140349
Persephonella marina	genome11	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=225644775&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8A35F27090C65100000000061D04E7
Methanococcus maripaludis_D	genome12	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=45050763&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8B55BB709287A10000000004F90403
Methanococcus maripaludis	genome13	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=1342459100&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE899D67709236A100000000058D0484
Thermotoga maritima	genome14	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=568242599&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8DF3477090AB910000000007CD065C
Streptococcus salivarius	genome15	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=338744031&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8B1E80709283A10000000005210433
Streptococcus sp900766505	genome16	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=2215557184&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE8A0A12709097610000000007ED0667
Escherichia coli	genome17	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=1398296973&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE89F02270913C7100000000070C05CB
Gemmata obscuriglobus 	genome18	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=1804918964&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE88CCCE709096710000000007E3065A
Sulfitobacter pontiacus	genome19	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=2774323297&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE893D3F7092A0E100000000052E0435
Sphingomonas paucimobilis	genome20	https://www.ncbi.nlm.nih.gov/sviewer/viewer.cgi?tool=portal&save=file&log$=seqview&db=nuccore&report=fasta&id=1943171939&extrafeat=null&conwithfeat=on&hide-cdd=on&ncbi_phid=CE89994C709231410000000005F904D9
		
		
		
